"salary_avg","skill_name"
"400000","svn"
"179000","solidity"
"160515","couchbase"
"155486","datarobot"
"155000","golang"
"149000","mxnet"
"147633","dplyr"
"147500","vmware"
"146734","terraform"
"138500","twilio"
"134126","gitlab"
"129999","kafka"
"129820","puppet"
"127013","keras"
"125226","pytorch"
"124686","perl"
"124370","ansible"
"123950","hugging face"
"120647","tensorflow"
"118407","cassandra"
"118092","notion"
"117966","atlassian"
"116712","bitbucket"
"116387","airflow"
"115480","scala"
"114883","linux"
"114153","confluence"
"114058","pyspark"
"113608","mongodb"
"113394","aurora"
